pattern;color;material;;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;
elbzt00225;gzh0;elbzt00225-gzh0;ELBZT00225-GZH0;element;elbzt00225_element,f_gzh0_frt1.jpg;elbzt00225_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00248;ecn;elbzt00248-ecn;ELBZT00248-ECN;element;elbzt00248_element,f_ecn_frt1.jpg;elbzt00248_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00248;fbk;elbzt00248-fbk;ELBZT00248-FBK;element;elbzt00248_element,f_fbk_frt1.jpg;elbzt00248_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00248;gsl0;elbzt00248-gsl0;ELBZT00248-GSL0;element;elbzt00248_element,f_gsl0_frt1.jpg;elbzt00248_element,f_gsl0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00249;fbk;elbzt00249-fbk;ELBZT00249-FBK;element;elbzt00249_element,f_fbk_frt1.jpg;elbzt00249_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00249;sgbh;elbzt00249-sgbh;ELBZT00249-SGBH;element;elbzt00249_element,f_sgbh_frt1.jpg;elbzt00249_element,f_sgbh_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00249;wbb0;elbzt00249-wbb0;ELBZT00249-WBB0;element;elbzt00249_element,f_wbb0_frt1.jpg;elbzt00249_element,f_wbb0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00250;ecn;elbzt00250-ecn;ELBZT00250-ECN;element;elbzt00250_element,f_ecn_frt1.jpg;elbzt00250_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00250;gsl0;elbzt00250-gsl0;ELBZT00250-GSL0;element;elbzt00250_element,f_gsl0_frt1.jpg;elbzt00250_element,f_gsl0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00250;sgbh;elbzt00250-sgbh;ELBZT00250-SGBH;element;elbzt00250_element,f_sgbh_frt1.jpg;elbzt00250_element,f_sgbh_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00252;ecn;elbzt00252-ecn;ELBZT00252-ECN;element;elbzt00252_element,f_ecn_frt1.jpg;elbzt00252_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00252;gzh0;elbzt00252-gzh0;ELBZT00252-GZH0;element;elbzt00252_element,f_gzh0_frt1.jpg;elbzt00252_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00253;ctf0;elbzt00253-ctf0;ELBZT00253-CTF0;element;elbzt00253_element,f_ctf0_frt1.jpg;elbzt00253_element,f_ctf0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00253;ecn;elbzt00253-ecn;ELBZT00253-ECN;element;elbzt00253_element,f_ecn_frt1.jpg;elbzt00253_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbzt00254;fbk;elbzt00254-fbk;ELBZT00254-FBK;element;elbzt00254_element,f_fbk_frt1.jpg;elbzt00254_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
